Culture,Criticality,Criticality Modifier,Initial Known,Inter Dependency,Dynamism,Size,Plan,Team Size,Cost-,Score-,Idle-
0.822015571,0.767251501,0.672703393,0.306477209,0.311942205,0.654575027,0.876955515,0.683577721,0.011146795,0.42384006,0.454190099,0.279535865
0.00729246,0.844445825,0.238467424,0.025818725,0.591547471,0.119153454,0.592607554,0.444829036,0.4809854,0.210758571,0.076157709,0.5625
0.104055471,0.973315841,0.621135156,0.094737369,0.504491587,0.722813383,0.899176661,0.359424813,0.350849528,0.49485201,0.342316876,0.720844812
0.884543084,0.749078825,0.801929961,0.955562975,0.878770067,0.507784618,0.193377138,0.965746447,0.654486061,0.241630636,0.454402476,0.166666667
0.722712618,0.923677718,0.945552095,0.130604633,0.821365719,0.034920416,0.080054922,0.744960078,0.282210195,0.274475904,0.209360199,0.597826087
0.750556444,0.687903999,0.041647949,0.783533746,0.636413563,0.794969791,0.274315671,0.008213617,0.458305428,0.060534182,0.625862755,0.230582524
0.276998707,0.959655455,0.768735825,0.732330336,0.596027026,0.752211325,0.926818034,0.520038949,0.912772177,0.741415605,0.471525658,0.411911555
0.818293747,0.110114835,0.435938339,0.032082409,0.005470481,0.040639888,0.301771459,0.628770707,0.154848205,0.099770576,0.130796883,0.028409091
0.808011215,0.238176954,0.419135608,0.101567986,0.207969091,0.316417683,0.686990965,0.82853912,0.968987632,0.244255701,0.573059304,0.595930233
0.174642594,0.585593924,0.167997004,0.987338226,0.963259849,0.559302308,0.200228142,0.511665923,0.641269757,0.078834199,0.066776849,0
0.513837061,0.10925132,0.465673575,0.293921223,0.852275788,0.829057514,0.92288309,0.773400219,0.463844736,0.233412286,0.515442625,0.219565217
0.268037365,0.729692116,0.042125569,0.914405909,0.956840796,0.722842739,0.623298841,0.992907617,0.809409583,0.127616279,0.404511834,0.045731707
0.746207834,0.072012466,0.852660005,0.562730105,0.685360657,0.033128633,0.595141005,0.778200191,0.98528369,0.360014029,0.088632807,0
0.709948704,0.923478689,0.362075779,0.132558489,0.014123499,0.748730029,0.707179118,0.273782426,0.582997789,0.299648125,0.493563667,0.295608108
0.769629461,0.490041467,0.96472632,0.847426605,0.296000494,0.925881058,0.222722895,0.870538314,0.607990875,0.292205694,0.707531734,0.208333333
0.288473226,0.31097045,0.649320798,0.188668491,0.615036126,0.213456746,0.74317352,0.442886169,0.447218645,0.254299135,0.246154998,0.278497409
